question,answer,first_instruction,history,current_view_coord,previous_views_coord,map_name,gps_botm_left,gps_top_right,lng_ratio,lat_ratio
" I pass the road, Am I near the destination? How to go to destinaton?.  "," Yes, fate is in your field of vision.You have arrived at your destination.  "," head forward towards 6 o'clock direction, After passing a road and few buildings, The destination is a ground with few trucks parked there.  ","["" [INS] head forward towards 6 o'clock direction, After passing a road and few buildings, The destination is a ground with few trucks parked there..  ""]","[[10.77779782150977, 106.79981803770555], [10.777242480626835, 106.79889380624697], [10.778166713039328, 106.7983384666995], [10.77872205125132, 106.79926270063825]]",[],1855,"[10.774306517854457, 106.79648552503394]","[10.783399371446311, 106.80568312418612]",3.1263083454038256e-06,3.12576610239072e-06
" there are many small buildinds in my view, Can I see the destination? In what direction is our destination?.  "," Move toward 3 o'clock direction, turn towards 6 o'clock direction, black colored small square shaped place is your destination.  "," Hi drone, head south west and pass over a building and your destination is the small green building.  ","[' [INS] Hi drone, head south west and pass over a building and your destination is the small green building..  ']","[[10.776439374078832, 106.80049486683333], [10.778251934565594, 106.79907875151196], [10.779668064195597, 106.80089129311133], [10.777855517445113, 106.80230741968883]]",[],1855,"[10.774306517854457, 106.79648552503394]","[10.783399371446311, 106.80568312418612]",3.1263083454038256e-06,3.12576610239072e-06
" I am on the small black building, What is the destination look like? In what direction is our destination?.  ", Destination looks like three blue roofed buildings. It is in your two o'clock direction.  ," Hi drone, head south west and pass over a building and your destination is the small green building.  ","[' [INS] Hi drone, head south west and pass over a building and your destination is the small green building..  ', ""[QUE] there are many small buildinds in my view, Can I see the destination? In what direction is our destination?.  [INS] Move toward 3 o'clock direction, turn towards 6 o'clock direction, black colored small square shaped place is your destination..  ""]","[[10.778490232301436, 106.80057455705825], [10.778886779534984, 106.8002647483078], [10.779196592864205, 106.80066128791007], [10.778800049064724, 106.80097110352868]]","[[[10.776439374078832, 106.80049486683333], [10.778251934565594, 106.79907875151196], [10.779668064195597, 106.80089129311133], [10.777855517445113, 106.80230741968883]]]",1855,"[10.774306517854457, 106.79648552503394]","[10.783399371446311, 106.80568312418612]",3.1263083454038256e-06,3.12576610239072e-06
" I move to the east, Which direction should I go? Is the destination in my view?.  ", turn 8'o clock direction go foward  cross road go forward then cross other road the three joint brown building is your goal.  ," Hi drone, head northeast towards the 2 o'clock direction. The destination is an open area between two buildings with three distinct sections.  ","["" [INS] Hi drone, head northeast towards the 2 o'clock direction. The destination is an open area between two buildings with three distinct sections.  ""]","[[36.69820710742144, 3.1770792836191526], [36.69648977005744, 3.177259811769503], [36.69630955958189, 3.175545314586136], [36.69802689624616, 3.1753647864357855]]",[],1432,"[36.69291700559716, 3.1662469981589223]","[36.70195085957988, 3.1774615280728966]",2.865235031674553e-06,2.8660704259908085e-06
" I am on hte brown building at 8 o clock, What is the destination look like? Where should I go now?.  "," Go a few meters north, go through the road and head towards the 3 similar buildings in front of the road, this is your destination.  "," Hi drone, head northeast towards the 2 o'clock direction. The destination is an open area between two buildings with three distinct sections.  ","["" [INS] Hi drone, head northeast towards the 2 o'clock direction. The destination is an open area between two buildings with three distinct sections.  "", ""[QUE] I move to the east, Which direction should I go? Is the destination in my view?.  [INS] turn 8'o clock direction go foward  cross road go forward then cross other road the three joint brown building is your goal.  ""]","[[36.69978877335251, 3.1761058336639993], [36.698285887818884, 3.176263816699817], [36.69812821825952, 3.174763770996957], [36.699631103093424, 3.174605787961139]]","[[[36.69820710742144, 3.1770792836191526], [36.69648977005744, 3.177259811769503], [36.69630955958189, 3.175545314586136], [36.69802689624616, 3.1753647864357855]]]",1432,"[36.69291700559716, 3.1662469981589223]","[36.70195085957988, 3.1774615280728966]",2.865235031674553e-06,2.8660704259908085e-06
" I am at the edge of the southeast, Can I see the destination? In what direction is our destination?.  "," Yes, fate is in your field of vision. Go in the 10 o'clock direction from your current position.  ", go southeast and pass by the quarter circle grass field until you reach the two large brown buildings at the most southeast part of the area.  ,[' [INS] go southeast and pass by the quarter circle grass field until you reach the two large brown buildings at the most southeast part of the area..  '],"[[36.695787301898655, 3.1746297849443543], [36.693477931366424, 3.17187759498586], [36.69623013182078, 3.169568208709836], [36.69853951669736, 3.1723204025168137]]",[],1432,"[36.69291700559716, 3.1662469981589223]","[36.70195085957988, 3.1774615280728966]",2.865235031674553e-06,2.8660704259908085e-06
" I move 10 o clock near road, How does the destination look like? How to go to destinaton?.  "," Head towards 5 o'clock direction, After passing a few building. The destination is a two gray color building in same shape and size with a greenish ground o right side.  ", go southeast and pass by the quarter circle grass field until you reach the two large brown buildings at the most southeast part of the area.  ,"[' [INS] go southeast and pass by the quarter circle grass field until you reach the two large brown buildings at the most southeast part of the area..  ', ""[QUE] I am at the edge of the southeast, Can I see the destination? In what direction is our destination?.  [INS] Yes, fate is in your field of vision. Go in the 10 o'clock direction from your current position..  ""]","[[36.695900604681974, 3.17473321285558], [36.69451528226444, 3.1730822450340574], [36.69616625568376, 3.171696906872728], [36.69755159244564, 3.173347873644664]]","[[[36.695787301898655, 3.1746297849443543], [36.693477931366424, 3.17187759498586], [36.69623013182078, 3.169568208709836], [36.69853951669736, 3.1723204025168137]]]",1432,"[36.69291700559716, 3.1662469981589223]","[36.70195085957988, 3.1774615280728966]",2.865235031674553e-06,2.8660704259908085e-06
 I am surround by the buildings What is the destination look like? Where should I go now?.  , The destination is a large gray rectangular building. Head in the 10 o'clock direction from your current position.  , head forward towards 9.30 o'clock direction. After passing few building blocks. the destination is an rectangle shapped ash colored building surrounded by sorrounded by other building.  ,"["" [INS] head forward towards 9.30 o'clock direction. After passing few building blocks. the destination is an rectangle shapped ash colored building surrounded by sorrounded by other building..  ""]","[[36.69614181371879, 3.167596112790843], [36.696534789339466, 3.1677710731480686], [36.69635984183967, 3.1681640209547077], [36.69596687216665, 3.167989062084396]]",[],1432,"[36.69291700559716, 3.1662469981589223]","[36.70195085957988, 3.1774615280728966]",2.865235031674553e-06,2.8660704259908085e-06
" I am on the large grey rectangle building, What is destination's color and shape? How to go to destinaton?.  ", Fly northeast to the long gray building.  , head forward towards 9.30 o'clock direction. After passing few building blocks. the destination is an rectangle shapped ash colored building surrounded by sorrounded by other building.  ,"["" [INS] head forward towards 9.30 o'clock direction. After passing few building blocks. the destination is an rectangle shapped ash colored building surrounded by sorrounded by other building..  "", ""[QUE] I am surround by the buildings What is the destination look like? Where should I go now?.  [INS] The destination is a large gray rectangular building. Head in the 10 o'clock direction from your current position..  ""]","[[36.69561848907218, 3.1668108851142454], [36.69679942904081, 3.167336666993397], [36.696273666404075, 3.1685175807223653], [36.695092735182, 3.1679918056655247]]","[[[36.69614181371879, 3.167596112790843], [36.696534789339466, 3.1677710731480686], [36.69635984183967, 3.1681640209547077], [36.69596687216665, 3.167989062084396]]]",1432,"[36.69291700559716, 3.1662469981589223]","[36.70195085957988, 3.1774615280728966]",2.865235031674553e-06,2.8660704259908085e-06
" I am near the buildings, What is destination's color and shape? In what direction is our destination?.  ", go to the left side and continue walking up the road. And it goes on the left side of the road. You need to get to the destination building which is a dark gray building.  , Could you please go to the left side continue the walking to the road. And turn on the left side the walking for the road. You need get to the destination building. And you achieve to the destination block.  ,[' [INS] Could you please go to the left side continue the walking to the road. And turn on the left side the walking for the road. You need get to the destination building. And you achieve to the destination block..  '],"[[36.701731874045926, 3.16867633218724], [36.70148626406434, 3.172188621900661], [36.69797395720768, 3.171943017997928], [36.69821957545476, 3.168430719712885]]",[],1432,"[36.69291700559716, 3.1662469981589223]","[36.70195085957988, 3.1774615280728966]",2.865235031674553e-06,2.8660704259908085e-06
